time,open,high,low,close,volume
2025-09-21 06:22:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:23:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:24:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:25:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:26:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:27:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:28:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:29:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:30:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:31:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:32:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:33:00,33.0,33.0,33.0,33.0,0.0
2025-09-21 06:34:00,33.03,33.03,33.01,33.01,89.53140848
2025-09-21 06:35:00,33.01,33.01,33.01,33.01,0.0
2025-09-21 06:36:00,33.01,33.01,33.01,33.01,0.0
2025-09-21 06:37:00,33.01,33.01,33.01,33.01,0.0
2025-09-21 06:38:00,33.01,33.01,33.01,33.01,0.0
2025-09-21 06:39:00,33.01,33.01,33.01,33.01,0.0
2025-09-21 06:40:00,33.06,33.06,33.06,33.06,0.15242
2025-09-21 06:41:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:42:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:43:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:44:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:45:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:46:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:47:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:48:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:49:00,33.06,33.06,33.06,33.06,0.0
2025-09-21 06:50:00,33.04,33.04,33.04,33.04,0.15426497
2025-09-21 06:51:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:52:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:53:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:54:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:55:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:56:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:57:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:58:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 06:59:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:00:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:01:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:02:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:03:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:04:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:05:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:06:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:07:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:08:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 07:09:00,32.93,32.93,32.92,32.93,130.438815
2025-09-21 07:10:00,32.93,32.93,32.93,32.93,0.0
2025-09-21 07:11:00,32.98,32.98,32.98,32.98,4.54959053
2025-09-21 07:12:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:13:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:14:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:15:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:16:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:17:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:18:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:19:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:20:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:21:00,32.98,32.98,32.98,32.98,3.03122158
2025-09-21 07:22:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:23:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:24:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:25:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:26:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:27:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:28:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:29:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:30:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:31:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:32:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:33:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:34:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:35:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:36:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:37:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:38:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:39:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:40:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:41:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:42:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:43:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:44:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:45:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:46:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:47:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:48:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:49:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:50:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:51:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:52:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:53:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:54:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:55:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:56:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:57:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:58:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 07:59:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:00:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:01:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:02:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:03:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:04:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:05:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:06:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:07:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:08:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:09:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:10:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:11:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:12:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:13:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:14:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:15:00,32.98,32.98,32.98,32.98,0.0
